Name,Icon Image,Photo Image,House Image,Species,Gender,Personality,Subtype,Hobby,Birthday,Catchphrase,Favorite Song,Favorite Saying,Style 1,Style 2,Color 1,Color 2,Default Clothing,Default Umbrella,Wallpaper,Flooring,Furniture List,Furniture Name List,Version Added,Name Color,Bubble Color,Filename,Unique Entry ID
Cousteau,,,,Frog,Male,Jock,B,Fitness,12/17,oui oui,Imperial K.K.,"Jump first, ask questions later.",Elegant,Gorgeous,Green,Red,2672,kabuki umbrella,exquisite wall,imperial tile,10742;10742;7796;8415;3971;7797;3974;3970;329;7797;3972;794;7282,bamboo stool;bamboo stool;imperial dining table;imperial dining lantern;imperial partition;imperial dining chair;imperial low table;imperial decorative shelves;goldfish;imperial dining chair;imperial chest;phonograph;hanging scroll,1.0.0,#9b553a,#ffd00d,flg10,XPhZym7Wxu926eLD8
Cranston,,,,Ostrich,Male,Lazy,A,Nature,9/23,sweatband,K.K. Faire,Hard work beats talent.,Simple,Cool,Beige,Brown,4154,camo umbrella,white subway-tile wall,stone tile,3971;3973;3974;3949;725;7348;7348;3972;3428;4338;997;7282;3970;8415,imperial partition;imperial bed;imperial low table;anthurium plant;paper lantern;red carpet;red carpet;imperial chest;wall-mounted TV (50 in.);portable record player;incense burner;hanging scroll;imperial decorative shelves;imperial dining lantern,1.0.0,#848484,#ffffff,ost06,Wbivs7b7D3NZ7q9y9
Croque,,,,Frog,Male,Cranky,A,Nature,7/18,as if,K.K. Folk,"Where there's smoke, there's fire.",Elegant,Cool,Red,Orange,9127,paper parasol,autumn wall,colored-leaves flooring,7142;10743;533;533;533;3675;7345;7788;7390;7408,simple DIY workbench;bamboo speaker;tree standee;tree standee;tree standee;hay bed;shanty mat;leaf campfire;leaf stool;maple-leaf pond stone,1.0.0,#fff2bb,#ff791f,flg17,SqHZjtuNfu7DAXYDE
Cube,,,,Penguin,Male,Lazy,B,Play,1/29,brainfreeze,Farewell,Sometimes you gotta learn to chill.,Simple,Cute,Yellow,Colorful,8203,blue dot parasol,snowflake wall,simple white flooring,1557;2558;83;3205;1565;4279;7346;5543;4067;1561;1145;4003;1559,wooden-block bed;wooden-block chair;rocking horse;wooden-block stereo;wooden-block table;frozen-treat set;snowflake rug;wooden-blockstool;tabletop festive tree;wooden-block chest;snow globe;cute music player;wooden-block bench,1.0.0,#fffce9,#515151,pgn02,YskkqbSnYwCh63Sru
Curlos,,,,Sheep,Male,Smug,B,Nature,5/8,shearly,K.K. Salsa,"If you want to know yourself better, ask your neighbors.",Active,Gorgeous,Red,Green,8204,vinyl umbrella,wild-wood wall,dark herringbone flooring,791;2554;7348;1803;1277;1177;4139;954;4123;4138;383;4144;704,jukebox;double sofa;red carpet;drum set;cacao tree;foosball table;diner counter table;espresso maker;mini-cactus set;diner counter chair;acoustic guitar;diner neon clock;tapestry,1.0.0,#9b553a,#ffd00d,shp08,B6tM7dBSpcaMrAGrF
Curly,,,,Pig,Male,Jock,B,Fitness,7/26,nyoink,K.K. Reggae,Get fired up!,Simple,Active,Yellow,Colorful,5262,blue umbrella,common wall,wooden-knot flooring,4030;2554;3251;2713;1232;8298;1229;5543;3439;4003;4118;7352;3282,bathroom towel rack;double sofa;gas range;refrigerator;water cooler;bunk bed;bathroom sink;wooden-blockstool;wooden table;cute music player;magnetic knife rack;yellow argyle rug;pop-up toaster,1.0.0,#fffce9,#f993ce,pig00,kRGwwKyoSLKh9g2Tk
Curt,,,,Bear,Male,Cranky,A,Nature,7/1,fuzzball,Comrade K.K.,A Bell saved is a Bell earned.,Cool,Cool,Blue,White,6835,bat umbrella,chain-link fence,sandlot,787;1433;1434;4393;4094;7163;3229;3819;1429;3672;889,tape deck;campfire cookware;sleeping bag;old-fashioned washtub;floating-biotope planter;cardboard chair;clothesline;oil-barrel bathtub;campfire;cardboard box;camp stove,1.0.0,#fffce9,#515151,bea02,w7y7v3w49B7KkDXbg
Cyd,,,,Elephant,Male,Cranky,A,Music,6/9,rockin',K.K. Metal,"Do what you want, but do it loud!",Cool,Active,Black,Yellow,3256,bat umbrella,skull wall,skull-print flooring,3943;3200;3195;1803;3270;9642;3193;3196;3559;132;4757,ironwood DIY workbench;ironwood bed;ironwood cart;drum set;ironwood kitchenette;iron closet;ironwood chair;ironwood dresser;iron wall lamp;succulent plant;throwback skull radio,1.0.0,#fffad4,#ff4040,elp12,edCh8EDStBMbyskYa
Cyrano,,,,Anteater,Male,Cranky,B,Education,3/9,ah-CHOO,K.K. Lament,Don't punch your nose to spite your face.,Cool,Active,Yellow,Beige,4249,paper parasol,shoji screen,tatami,722;3230;3658;3556;3554;7048;7047;716,hearth;futon;bamboo basket;bamboo stopblock;bamboo candleholder;pile of zen cushions;zen cushion;screen,1.0.0,#fffad4,#194c89,ant00,JaNDeYdAuiJCYZbAx
Daisy,,,,Dog,Female,Normal,B,Education,11/16,bow-WOW,Forest Life,It's not always a dog-eat-dog world.,Simple,Cute,Colorful,Blue,4613,peach umbrella,blue blossoming wall,simple white flooring,4125;4132;3701;3702;2560;4003;4111;7134;3467;7132;3252;7346,wooden bookshelf;yucca;writing desk;writing chair;wooden chest;cute music player;old-fashioned alarm clock;wooden low table;tea set;wooden double bed;LCD TV (50 in.);snowflake rug,1.0.0,#879b96,#fff98f,dog07,2u92atfG2uMg2J8sS
Deena,,,,Duck,Female,Normal,B,Education,6/27,woowoo,Mr. K.K.,Duck...duck...GOOSE!,Simple,Cute,Colorful,Blue,3059,strawberry umbrella,perforated-board wall,natural-block flooring,1875;3681;1058;1449;833;2012;1308;1308;4121;1744,grand piano;piano bench;music stand;cello;upright locker;chalkboard;school chair;school chair;marimba;wall clock,1.0.0,#fffad4,#798040,duk04,dXBazBPxXu9QGrAzM
Deirdre,,,,Deer,Female,Big Sister,A,Play,5/4,whatevs,K.K. Bossa,"Legs of an antelope, heart of an eagle.",Simple,Simple,Orange,Orange,7844,cherry umbrella,autumn wall,colored-leaves flooring,7142;4038;808;4003;6081;4708;805;1620;3808;6075;6078,simple DIY workbench;log stool;mush table;cute music player;tree's bounty arch;mush low stool;mush lamp;hammock;mush log;tree's bounty mobile;tree's bounty lamp,1.0.0,#4b4496,#ddcdca,der04,ibnMhhdYMGHYr9RAZ
Del,,,,Alligator,Male,Cranky,B,Fitness,5/27,gronk,Pondering,The hero is brave in deeds as well as words.,Cool,Simple,Blue,White,2655,bat umbrella,industrial wall,ship deck,3563;3943;3560;3992;1567;1567;8417;7529;7529;7526;4026;7280;7280;3560;7528;7262;7599;7280,iron shelf;ironwood DIY workbench;iron worktable;key holder;oil barrel;oil barrel;wall-mounted tool board;folding chair;folding chair;outdoor generator;utility sink;gears;gears;iron worktable;tool cart;metal can;board game;gears,1.0.0,#9ae8df,#6b75ce,crd04,Eqn3ZXJtMBrEYtm7u
Deli,,,,Monkey,Male,Lazy,A,Nature,5/24,monch,K.K. Étude,"Righty tighty, lefty loosey.",Gorgeous,Elegant,Purple,Brown,3262,pear umbrella,blue simple-cloth wall,simple blue flooring,4125;3584;929;3701;3702;2554;3490;3438;2560;2605;7134;4111;1411;4003;1850;7467,wooden bookshelf;writing poster;air conditioner;writing desk;writing chair;double sofa;wooden waste bin;wooden end table;wooden chest;wooden simple bed;wooden low table;old-fashioned alarm clock;globe;cute music player;laptop;blue dotted rug,1.0.0,#fffce9,#c0ab72,mnk08,zh7aML2hmMKy5bbiR
Derwin,,,,Duck,Male,Lazy,B,Play,5/25,derrrr,K.K. Stroll,Everything in moderation. Except for snacks.,Simple,Elegant,Yellow,Beige,7764,green umbrella,backyard-fence wall,backyard lawn,4003;4379;4379;2329;3509;2329;1116;1631;1199,cute music player;springy ride-on;springy ride-on;tire toy;garden bench;tire toy;sandbox;garden faucet;tricycle,1.0.0,#fffce9,#0961f6,duk08,nBcDHyXheHurcisiL
Diana,,,,Deer,Female,Snooty,A,Education,1/4,no doy,Farewell,Sometimes you have to lose to win.,Elegant,Gorgeous,Purple,Pink,3573,black chic umbrella,white botanical-tile wall,stone tile,3468;4054;1840;4017;3983;4051;3340;7236;742;4046;10244,beach towel;rattan low table;whirlpool bath;shower set;shell bed;rattan vanity;deer decoration;lily record player;fireplace;rattan end table;fragrance sticks,1.0.0,#725661,#ffebff,der08,QGyW9QJjjxo3jta6j
Diva,,,,Frog,Female,Big Sister,A,Fitness,10/2,ya know,K.K. Oasis,Eyes are the windows to the soul.,Gorgeous,Elegant,Purple,Aqua,3441,red chic umbrella,ancient wall,rocky-mountain flooring,5959;5959;8702;8702;8825;3473;3772;5165;5165;5165,Cancer table;Cancer table;sphinx;sphinx;golden casket;golden seat;golden candlestick;wall-mounted candle;wall-mounted candle;wall-mounted candle,1.0.0,#fffce9,#a06fce,flg18,FmQ9x68HncTm8vdsG
Dizzy,,,,Elephant,Male,Lazy,B,Play,7/14,woo-oo,Two Days Ago,Keep it mellow.,Simple,Simple,Yellow,Blue,8200,rainbow umbrella,yellow playroom wall,backyard lawn,86;1558;3623;5543;4111;3584;85;3205;1557;1561,elephant slide;wooden-block bookshelf;toy box;wooden-blockstool;old-fashioned alarm clock;writing poster;train set;wooden-block stereo;wooden-block bed;wooden-block chest,1.0.0,#fffce9,#7fa9ff,elp01,vthzJrsaM6Y7dykA5
Dobie,,,,Wolf,Male,Cranky,A,Nature,2/17,ohmmm,Agent K.K.,Old longings never truly fade.,Simple,Cool,Brown,Beige,4212,busted umbrella,classic-library wall,dark herringbone flooring,3784;3561;1759;8036;3951;4106;4029;4034;4116;3672;1750;3672;3958;3783;794;1759;4110;1211,den chair;iron hanger stand;stack of books;yellow Persian rug;antique console table;pendulum clock;rotary phone;scattered papers;whiteboard;cardboard box;document stack;cardboard box;antique mini table;den desk;phonograph;stack of books;essay set;typewriter,1.0.0,#fffad4,#798040,wol04,YjMXvmH5eovNYShdE
Doc,,,,Rabbit,Male,Lazy,B,Education,3/16,old bunny,Pondering,One cannot live on carrots alone.,Simple,Elegant,Gray,Beige,3225,green umbrella,classic-library wall,dark-block flooring,1326;3784;4125;4125;2012;3951;4106;794;3584;4030;4072;3683;3783;7348;7333;4016;1929,skeleton;den chair;wooden bookshelf;wooden bookshelf;chalkboard;antique console table;pendulum clock;phonograph;writing poster;bathroom towel rack;toilet-cleaning set;plain sink;den desk;red carpet;ivory simple bath mat;lab-experiments set;toilet,1.0.0,#fffce9,#0961f6,rbt10,iasth9JRLdRvLzuQ7
Dom,,,,Sheep,Male,Jock,A,Play,3/18,indeedaroo,K.K. Country,Be true to your most shiny self.,Active,Cute,Red,Colorful,4211,red umbrella,backyard-fence wall,backyard lawn,3675;1708;4038;5970;3962;5973;338;5973;4042;5973;1157;1631;1082;5973,hay bed;cassette player;log stool;firewood;inflatable sofa;log stakes;lawn mower;log stakes;log bench;log stakes;brick oven;garden faucet;picnic basket;log stakes,1.0.0,#97858e,#feeae7,shp15,T6YJZ7vj2X52zmDcp
Dora,,,,Mouse,Female,Normal,B,Education,2/18,squeaky,K.K. Faire,The squeaky wheel gets the cheese.,Simple,Elegant,Blue,Aqua,4407,maple-leaf umbrella,dojo wall,floral rush-mat flooring,717;10743;739;3230;3557;7047;10742;3554;7048;7282,clay furnace;bamboo speaker;tea table;futon;bamboo floor lamp;zen cushion;bamboo stool;bamboo candleholder;pile of zen cushions;hanging scroll,1.0.0,#848484,#ffffff,mus00,9Qpj5fqp4E8PvGGFw
Dotty,,,,Rabbit,Female,Peppy,B,Fashion,3/14,wee one,Drivin',It's always a good hare day.,Simple,Cute,Blue,Black,8359,lacy parasol,green intricate wall,pine-board flooring,3251;4027;1845;2561;4132;928;2605;7134;3436;9766;7137;3438;3275;7354;3467;3282;4338,gas range;floral swag;simple kettle;floor lamp;yucca;pot rack;wooden simple bed;wooden low table;wooden wardrobe;mini fridge;wooden full-length mirror;wooden end table;ironwood clock;green shaggy rug;tea set;pop-up toaster;portable record player,1.0.0,#848484,#ffffff,rbt01,CRMJaAokcTnrXsQdp
Drago,,,,Alligator,Male,Lazy,A,Nature,2/12,burrrn,Imperial K.K.,There is no room for two dragons in one pond.,Elegant,Gorgeous,Orange,Red,3462,panda umbrella,imperial wall,imperial tile,3971;6031;6031;7797;7796;8415;8415;3972;794;3970;3972;7021,imperial partition;cherry-blossom branches;cherry-blossom branches;imperial dining chair;imperial dining table;imperial dining lantern;imperial dining lantern;imperial chest;phonograph;imperial decorative shelves;imperial chest;sea horse model,1.0.0,#28665a,#78dd62,crd08,qjqzytG4LCEoong4w
Drake,,,,Duck,Male,Lazy,B,Play,6/25,quacko,K.K. Blues,...Quack.,Cool,Simple,Brown,Red,3630,gelato umbrella,cabin wall,common flooring,85;2605;3122;4572;4044;2560;4338;4119;8035;3438;742;2731,train set;wooden simple bed;mini DIY workbench;shaded floor lamp;log extra-long sofa;wooden chest;portable record player;macrame tapestry;blue Persian rug;wooden end table;fireplace;digital alarm clock,1.0.0,#fffce9,#459aba,duk09,CKAsCWnKjfQYG8R7v
Drift,,,,Frog,Male,Jock,B,Fitness,10/9,dribbit,K.K. Metal,Always go for the gold!,Simple,Active,Orange,Red,3323,leaf umbrella,gray shanty wall,skull-print flooring,941;3563;8417;3943;3200;3194;3196;132;4757;1288,DJ's turntable;iron shelf;wall-mounted tool board;ironwood DIY workbench;ironwood bed;ironwood low table;ironwood dresser;succulent plant;throwback skull radio;fan palm,1.0.0,#fff2bb,#ff791f,flg04,gf6jM4si5zSEFjf9w
Ed,,,,Horse,Male,Smug,B,Nature,9/16,greenhorn,K.K. Ballad,Beauty is pretty!,Gorgeous,Elegant,Black,Gray,3690,vinyl umbrella,blue delicate-blooms wall,rosewood flooring,2554;4015;3957;4106;3951;3949;4028;742;6545;796,double sofa;shower booth;antique bed;pendulum clock;antique console table;anthurium plant;retro radiator;fireplace;Ed's photo;retro stereo,1.0.0,#fffce9,#55cfff,hrs06,JmHu7aFcqj9hxKupZ
Egbert,,,,Chicken,Male,Lazy,B,Play,10/14,doodle-duh,Lucky K.K.,You gotta break a few eggs to make an omelet.,Simple,Simple,Beige,Brown,4446,leaf umbrella,cabin wall,wooden-knot flooring,3468;3468;1232;4015;3689;3689;4044;4044;4037;7333;7333;4042;7333;1892;4048,beach towel;beach towel;water cooler;shower booth;sauna heater;sauna heater;log extra-long sofa;log extra-long sofa;log wall-mounted clock;ivory simple bath mat;ivory simple bath mat;log bench;ivory simple bath mat;hourglass;rattan towel basket,1.0.0,#9b553a,#ffd00d,chn02,jRwtNxCCWuznSMCZy
Elise,,,,Monkey,Female,Snooty,B,Fashion,3/21,puh-lease,K.K. Bossa,"Do as I say, not as I do.",Elegant,Gorgeous,Purple,Red,4791,red chic umbrella,abstract wall,simple purple flooring,3971;3957;4053;3615;4046;3784;4129;4027;3958;4015;3783;794;1211,imperial partition;antique bed;rattan armchair;open-frame kitchen;rattan end table;den chair;monstera;floral swag;antique mini table;shower booth;den desk;phonograph;typewriter,1.0.0,#8b5f57,#d8cc39,mnk05,taRZ4jRFMGPkxCZo4
Ellie,,,,Elephant,Female,Normal,A,Nature,5/12,li'l one,K.K. Ballad,You need the sour to highlight the sweet.,Simple,Cute,Gray,Pink,3633,pink shiny-bows parasol,beige art-deco wall,rose flooring,4132;1081;3681;3957;3951;3959;794;1042;7368;4027;3958;4069;7137,yucca;upright piano;piano bench;antique bed;antique console table;antique wardrobe;phonograph;metronome;lacy rug;floral swag;antique mini table;table lamp;wooden full-length mirror,1.0.0,#fffce9,#c0ab72,elp07,odt2kdswLHE2YMkQd
Elmer,,,,Horse,Male,Lazy,B,Play,10/5,tenderfoot,K.K. Country,"The horse doesn't pull the cart, the oats do.",Simple,Cool,Blue,White,3705,blue dot parasol,backyard-fence wall,backyard lawn,4038;5970;7142;3675;880;1631;5972;4043;3229;1708,log stool;firewood;simple DIY workbench;hay bed;wooden bucket;garden faucet;wild log bench;log round table;clothesline;cassette player,1.0.0,#fffce9,#d86808,hrs03,LcRhQqeH8u7PboJ73
Eloise,,,,Elephant,Female,Snooty,B,Fashion,12/8,tooooot,K.K. Soul,An elephant never forgets.,Elegant,Simple,Green,Orange,8818,mint umbrella,yellow intricate wall,brown floral flooring,929;4052;4049;4053;4109;3275;4054;4076;3775;998;1050;3975;796,air conditioner;rattan bed;rattan wardrobe;rattan armchair;double-door refrigerator;ironwood clock;rattan low table;nail-art set;hanging terrarium;kitchen island;mixer;orange end table;retro stereo,1.0.0,#9b553a,#ffd00d,elp03,6QughAEZFkYZ5vKpw
Elvis,,,,Lion,Male,Cranky,B,Education,7/23,unh-hunh,K.K. Casbah,Better a live coward than a forgotten hero.,Gorgeous,Elegant,Red,Black,3283,bat umbrella,palace wall,palace tile,5955;5956;5961;5963;5956;5963;3473;5964;8825;5959;3810,Virgo harp;Aquarius urn;Taurus bathtub;Pisces lamp;Aquarius urn;Pisces lamp;golden seat;Leo sculpture;golden casket;Cancer table;golden dishes,1.0.0,#9b553a,#ffd00d,lon01,4jYpCpw9nooMZHR8s
Erik,,,,Deer,Male,Lazy,A,Nature,7/27,chow down,Drivin',"If you're afraid of wolves, don't go to the woods.",Simple,Simple,Beige,Red,3630,snowflake umbrella,ski-slope wall,ski-slope flooring,7281;3497;4003;3502;3505;3498;3503,sleigh;frozen table;cute music player;frozen bed;frozen counter;frozen partition;frozen chair,1.0.0,#fffce9,#e8b010,der09,BJcXu5LtRBo8DdZ2v
Eugene,,,,Koala,Male,Smug,A,Music,10/26,yeah buddy,Agent K.K.,Imitation is the sincerest form of flattery.,Cool,Gorgeous,Black,Gray,3198,busted umbrella,office wall,monochromatic tile flooring,1232;7161;4116;7529;7529;1744;2014;1850;3672;1750;2014;1750;1870;3672;3822;1288,water cooler;cardboard bed;whiteboard;folding chair;folding chair;wall clock;lecture-hall desk;laptop;cardboard box;document stack;lecture-hall desk;document stack;mug;cardboard box;pro tape recorder;fan palm,1.0.0,#fffce9,#4c3317,kal10,2XX9mSSzxEhwXMi4f
Eunice,,,,Sheep,Female,Normal,B,Fashion,4/3,lambchop,K.K. Disco,There is a point to every encounter.,Simple,Elegant,Beige,Orange,3643,sunny parasol,blue tile wall,blue rubber flooring,1227;1227;1227;1227;1227;1227;1227;1227;7529;1802;1165;2556;7529;1227;1227;7529;1227;7529;1227;3560;4048;3431;3697;3586;1744,deluxe washer;deluxe washer;deluxe washer;deluxe washer;deluxe washer;deluxe washer;deluxe washer;deluxe washer;folding chair;drink machine;surveillance camera;garbage pail;folding chair;deluxe washer;deluxe washer;folding chair;deluxe washer;folding chair;deluxe washer;iron worktable;rattan towel basket;wall fan;portable radio;magazine;wall clock,1.0.0,#fffad4,#194c89,shp02,dbAfEFetNQpXajtch
Fang,,,,Wolf,Male,Cranky,B,Education,12/18,cha-chomp,K.K. Steppe,"You mess with the wolf, you get the fangs.",Simple,Cool,White,Aqua,7738,snowflake umbrella,arched-window wall,brown honeycomb tile,3957;790;2554;3956;3954;3951;1145;742;870;2561,antique bed;hi-fi stereo;double sofa;antique bureau;antique clock;antique console table;snow globe;fireplace;book stands;floor lamp,1.0.0,#4b4496,#ddcdca,wol06,PFvvq6NGpsRgCwg2z
Fauna,,,,Deer,Female,Normal,A,Nature,3/26,dearie,K.K. Stroll,The first step is always the hardest.,Simple,Cute,Beige,White,4409,raindrop umbrella,red-brick wall,mint dot flooring,1557;1558;928;3251;2558;1561;4338;1565;9766;3618;915;4445;6078;5543;870,wooden-block bed;wooden-block bookshelf;pot rack;gas range;wooden-block chair;wooden-block chest;portable record player;wooden-block table;mini fridge;cutting board;cuckoo clock;vintage TV tray;tree's bounty lamp;wooden-blockstool;book stands,1.0.0,#fffce9,#7a2500,der00,kB5jGQAqkLnh8LxWy
Felicity,,,,Cat,Female,Peppy,B,Fashion,3/30,mimimi,K.K. Stroll,Love has no bounds.,Cute,Cute,Yellow,Orange,2677,mini-flower-print umbrella,backyard-fence wall,daisy meadow,1829;1829;1631;4038;4003;1627;1626;331;1625;333;1620,cypress plant;cypress plant;garden faucet;log stool;cute music player;iron garden table;iron garden chair;birdbath;iron garden bench;birdhouse;hammock,1.0.0,#879b96,#fff98f,cat17,ygF99DNm88JRXvKLi
Filbert,,,,Squirrel,Male,Lazy,A,Nature,6/3,bucko,Stale Cupcakes,Don't go nuts or anything.,Simple,Cute,Blue,White,8194,pineapple umbrella,starry-sky wall,blue dot flooring,4761;3122;6829;2605;7133;6827;7133;3584;7253;6826;5543;3438;7134;3623;6827;7258;4003;6827,throwback rocket;mini DIY workbench;crescent-moon chair;wooden simple bed;wooden mini table;starry garland;wooden mini table;writing poster;star clock;nova light;wooden-blockstool;wooden end table;wooden low table;toy box;starry garland;modeling clay;cute music player;starry garland,1.0.0,#fffce9,#55cfff,squ02,ffo6sBoX9fkMB4bem
Flip,,,,Monkey,Male,Jock,A,Music,11/21,rerack,K.K. Rally,"See no donut, hear no donut, speak no donut.",Active,Simple,Blue,Yellow,8058,kabuki umbrella,cherry-blossom-trees wall,gravel flooring,10743;1185;1802;1234;6831;6831;710;2014;954;3400;4026;10742;3617;667,bamboo speaker;phone box;drink machine;portable toilet;blossom-viewing lantern;blossom-viewing lantern;bamboo bench;lecture-hall desk;espresso maker;dish-drying rack;utility sink;bamboo stool;stall;shaved-ice maker,1.0.0,#fff2bb,#ff791f,mnk06,ADkNZkrRxdSrfGFH8
Flo,,,,Penguin,Female,Big Sister,A,Music,9/2,cha,Space K.K.,Always keep a straight face.,Cool,Gorgeous,Red,Purple,4446,lemon umbrella,ice wall,ice flooring,7235;4015;3498;3498;4054;1929;4338;8394;3562;998;4279;928;3559;3428,rose bed;shower booth;frozen partition;frozen partition;rattan low table;toilet;portable record player;blue kitchen mat;iron wall rack;kitchen island;frozen-treat set;pot rack;iron wall lamp;wall-mounted TV (50 in.),1.0.0,#9ae8df,#6b75ce,pgn13,6cB5T5yZtevY6d2jp
Flora,,,,Ostrich,Female,Peppy,A,Play,2/9,pinky,K.K. Condor,Pink is the new black.,Cute,Active,Colorful,Pink,2686,hydrangea umbrella,meadow vista,oasis flooring,5972;335;336;335;336;1434;4042;3697;1429,wild log bench;Mr.Flamingo;Mrs. Flamingo;Mr.Flamingo;Mrs. Flamingo;sleeping bag;log bench;portable radio;campfire,1.0.0,#fffce9,#ff6183,ost09,eDX52Zi7H7qifrwYm
Flurry,,,,Hamster,Female,Normal,A,Nature,1/30,powderpuff,Hypno K.K.,"Squeak your mind, even if your voice shakes.",Elegant,Cute,Red,Pink,3597,snowflake umbrella,beige blossoming wall,arabesque flooring,3681;2561;2560;9766;928;3949;1798;3251;7134;3122;957;4003;2605;1081;1348,piano bench;floor lamp;wooden chest;mini fridge;pot rack;anthurium plant;dinnerware;gas range;wooden low table;mini DIY workbench;ventilation fan;cute music player;wooden simple bed;upright piano;hamster cage,1.0.0,#848484,#ffffff,ham06,B4cpBYrewfSK3WN6M
Francine,,,,Rabbit,Female,Snooty,B,Fashion,1/22,karat,K.K. Cruisin',You can't have wise folks if you don't have fools too.,Elegant,Gorgeous,Blue,Black,8187,white shiny-bows parasol,cute blue wall,blue dot flooring,4053;4052;4017;4030;3995;4000;3999;4002;2560;4001;6676;4338;1757;3996,rattan armchair;rattan bed;shower set;bathroom towel rack;cute DIY table;cute tea table;cute chair;cute floor lamp;wooden chest;cute vanity;Chrissy's photo;portable record player;claw-foot tub;cute wall-mounted clock,1.0.0,#fffce9,#3fd8e0,rbt12,eJZX7wDRYqatmKBKr
Frank,,,,Eagle,Male,Cranky,B,Education,7/30,crushy,K.K. Casbah,Today is the last day of the rest of your life.,Gorgeous,Cool,Brown,Yellow,2401,two-tone umbrella,gray shanty wall,boxing-ring mat,4015;1452;7152;4013;833;3560;1232;787;7800,shower booth;weight bench;neutral corner;punching bag;upright locker;iron worktable;water cooler;tape deck;protein shaker bottle,1.0.0,#28665a,#78dd62,pbr06,8BgXtjz2mfGBrZwCm
Freckles,,,,Duck,Female,Peppy,B,Fashion,2/19,ducky,Marine Song 2001,Act now before you change your mind!,Simple,Cute,Green,Colorful,8820,sunny parasol,lattice wall,bamboo flooring,4026;3943;7047;3672;3064;2274;3587;739;3583;3697;7369;3583;3615;724;7369;3699;3583;3583;4118,utility sink;ironwood DIY workbench;zen cushion;cardboard box;cooler box;tuna;fishing-rod stand;tea table;fishing-boat flag;portable radio;tatami mat;fishing-boat flag;open-frame kitchen;kettle;tatami mat;fish print;fishing-boat flag;fishing-boat flag;magnetic knife rack,1.0.0,#fffce9,#ff6183,duk07,AcYKxih6FpRRyZDs4
Freya,,,,Wolf,Female,Snooty,B,Fashion,12/14,uff da,Lucky K.K.,Don't stray too far from the pack.,Elegant,Cool,Green,Blue,4566,lacy parasol,heavy-curtain wall,rose flooring,3957;3955;3950;3950;1058;4028;3958;2772;3952;742;794;4230;1652,antique bed;antique vanity;antique chair;antique chair;music stand;retro radiator;antique mini table;fancy violin;antique table;fireplace;phonograph;glass holder with candle;matryoshka,1.0.0,#fffce9,#ff6183,wol05,qyoMuqvPA4Wqp3Ybn
Friga,,,,Penguin,Female,Snooty,B,Fashion,10/16,brrrmph,Farewell,You can't learn a life lesson from a fortune cookie.,Elegant,Gorgeous,Pink,Black,8509,candy umbrella,white subway-tile wall,stone tile,4052;4049;4047;4053;4048;2776;4051;3683;3498;1757;4045;4046;4054;4050;929;4030;4017;4003,rattan bed;rattan wardrobe;rattan stool;rattan armchair;rattan towel basket;tankless toilet;rattan vanity;plain sink;frozen partition;claw-foot tub;rattan waste bin;rattan end table;rattan low table;rattan table lamp;air conditioner;bathroom towel rack;shower set;cute music player,1.0.0,#634b4b,#f2bdc7,pgn04,uk9DGWqzxRT4TEJbm
Frita,,,,Sheep,Female,Big Sister,A,Music,7/16,oh ewe,K.K. Rockabilly,Don't sweat the small potatoes.,Active,Cute,Yellow,Red,5287,rainbow umbrella,pink diner wall,yellow floral flooring,791;1802;971;7392;1866;4143;4142;918;4139;954;3416,jukebox;drink machine;snack machine;candy machine;menu chalkboard;diner neon sign;diner dining table;coffee cup;diner counter table;espresso maker;soft-serve lamp,1.0.0,#874c25,#ffaa3b,shp11,79EahCMHHzp3BwH7x
Frobert,,,,Frog,Male,Jock,B,Fitness,2/8,fribbit,K.K. Ragtime,Always aim high!,Active,Simple,Blue,Colorful,4275,maple-leaf umbrella,green playroom wall,green vinyl flooring,3122;3438;2731;7524;4759;2560;4132;7528;3439;4756;7338;4757;4753;7454,mini DIY workbench;wooden end table;digital alarm clock;simple medium avocado mat;throwback race-car bed;wooden chest;yucca;tool cart;wooden table;throwback wall clock;white message mat;throwback skull radio;throwback wrestling figure;wooden toolbox,1.0.0,#219479,#87e0a9,flg02,YXidGR87Fi7mov7Po
Fuchsia,,,,Deer,Female,Big Sister,A,Music,9/19,precious,K.K. Rock,It takes one to know one.,Cool,Cool,Pink,Pink,4616,Toad parasol,pink shanty wall,brown floral flooring,2554;4129;3997;3195;3995;3621;4003;849;4002;3428;3996;1644,double sofa;monstera;cute wardrobe;ironwood cart;cute DIY table;loft bed with desk;cute music player;amp;cute floor lamp;wall-mounted TV (50 in.);cute wall-mounted clock;rock guitar,1.0.0,#fffce9,#f993ce,der06,Z98WrodjQxXZAACLA
Gabi,,,,Rabbit,Female,Peppy,B,Fashion,12/16,honeybun,Neapolitan,The more the merrier.,Cute,Gorgeous,Brown,Red,6811,tartan-check umbrella,beaded-curtain wall,orange retro flooring,928;4017;4030;3971;1757;3439;4003;2740;2776;2713;3683;3270;3618,pot rack;shower set;bathroom towel rack;imperial partition;claw-foot tub;wooden table;cute music player;automatic washer;tankless toilet;refrigerator;plain sink;ironwood kitchenette;cutting board,1.0.0,#848484,#ffffff,rbt05,WC97mFMgiZixDfcRZ
