UID,Villager,Animal,Personality,Image,House Type,House Color,Trim Color,Roof Color,Roof Material,Door Color,Door Style
302,Tex,Penguin,Smug,,Suburban,White,Black,Black,Tin,Black,Simple
303,Truffles,Pig,Peppy,,Suburban,Pink,Brown,Brown,Curved shingles,Beige,Wooden
304,Vivian,Wolf,Snooty,,Suburban,White,Grey,Orange,Curved shingles,White,Metal-accent
305,Wendy,Sheep,Peppy,,Suburban,Yellow,Brown,Blue,Tin,Black,Simple
306,Cyd,Elephant,Cranky,,Suburban,Black,Brown,Red,Tin,Grey,Iron
307,Puddles,Frog,Peppy,,Terracotta ,Pink,Beige,White,Thatch ,Red,Metal-accent
308,Queenie,Ostrich,Snooty,,Terracotta ,White,Beige,Purple,Stone,Black,Iron grill
309,Rasher,Pig,Cranky,,Terracotta ,Red,Grey,Black,Thatch ,Brown,Latticework
310,Angus,Bull,Cranky,,Terracotta ,Red,Grey,Black,Stone,Black,Iron
311,Antonio,Anteater,Jock,,Terracotta ,White,Beige,Black,Stone,Beige,Wooden
312,Apple,Hamster,Peppy,,Terracotta ,Pink,Beige,Red,Tile,Brown,Basic
313,Avery,Eagle,Cranky,,Terracotta ,Brown,Brown,Grey,Stone,Brown,Latticework
314,Bertha,Hippo,Normal,,Terracotta ,Green,Green,Blue,Stone,Teal,Rustic
315,Cally,Squirrel,Normal,,Terracotta ,Green,Green,Grey,Tile,Beige,Windowed
316,Clay,Hamster,Lazy,,Terracotta ,Orange,Yellow,Brown,Thatch ,Red,Rustic
317,Cole,Rabbit,Lazy,,Terracotta ,Brown,Brown,White,Thatch ,Black,Vertical-panes
318,Cookie,Dog,Peppy,,Terracotta ,White,Beige,Pink,Tile,Brown,Windowed
319,Deli,Monkey,Lazy,,Terracotta ,Sand,Grey,Brown,Tile,Black,Simple
320,Flora,Ostrich,Peppy,,Terracotta ,Pink,Beige,White,Tile,Pink,Iron grill
321,Friga,Penguin,Snooty,,Terracotta ,Pink,Beige,Purple,Stone,Blue,Basic
322,Gayle,Crocodile,Normal,,Terracotta ,White,Beige,White,Thatch ,Pink,Metal-accent
323,Ketchup,Duck,Peppy,,Terracotta ,Red,Grey,Brown,Stone,Yellow,Vertical-panes
324,Maple,Cub,Normal,,Terracotta ,Sand,Grey,Brown,Tile,Red,Windowed
325,Marcie,Kangaroo,Normal,,Terracotta ,Pink,Beige,Brown,Thatch ,Brown,Rustic
326,Megan,Bear,Normal,,Terracotta ,White,Beige,Pink,Tile,Teal,Rustic
327,Melba,Koala,Normal,,Terracotta ,White,Beige,Orange,Thatch ,Brown,Windowed
328,Norma,Cow,Normal,,Terracotta ,Pink,Beige,White,Thatch ,White,Rustic
329,Peck,Bird,Jock,,Terracotta ,Sand,Grey,Brown,Tile,Red,Wooden
330,Sprinkle,Penguin,Peppy,,Terracotta ,Green,Green,White,Stone,Blue,Wooden
331,Sterling,Eagle,Jock,,Terracotta ,Red,Grey,Black,Stone,Yellow,Iron
332,Tabby,Cat,Peppy,,Terracotta ,Brown,Brown,Brown,Thatch ,Yellow,Vertical-panes
333,Tammi,Monkey,Peppy,,Terracotta ,Sand,Grey,Black,Tile,White,Vertical-panes
334,Tutu,Bear,Peppy,,Terracotta ,Pink,Beige,White,Thatch ,Pink,Metal-accent
335,Violet,Gorilla,Snooty,,Terracotta ,Pink,Beige,Purple,Stone,Black,Metal-accent
336,Wade,Penguin,Lazy,,Terracotta ,Sand,Grey,Grey,Tile,White,Basic
337,Zell,Deer,Smug,,Terracotta ,Brown,Brown,Grey,Stone,White,Wooden
338,Annalisa,Anteater,Normal,,Traditional I,White,Beige,Purple,Tile,White,Zen
339,Buzz,Eagle,Cranky,,Traditional I,Tan,Brown,Brown,Stone,Brown,Latticework
340,Coco,Rabbit,Normal,,Traditional I,Green,Brown,Beige,Thatch ,Beige,Rustic
341,Cranston,Ostrich,Lazy,,Traditional I,White,Beige,Yellow,Thatch ,Red,Rustic
342,Croque,Frog,Cranky,,Traditional I,White,Black,Blue,Tile,Black,Zen
343,Cyrano,Anteater,Cranky,,Traditional I,White,Beige,Blue,Tile,Blue,Latticework
344,Dora,Mouse,Normal,,Traditional I,Grey,White,Black,Stone,Teal,Rustic
345,Gladys,Ostrich,Normal,,Traditional I,White,Black,Beige,Stone,Red,Latticework
346,Greta,Mouse,Snooty,,Traditional I,White,Beige,Blue,Tile,Black,Zen
347,Harry,Hippo,Cranky,,Traditional I,Tan,Brown,Yellow,Thatch ,Brown,Latticework
348,Ken,Chicken,Smug,,Traditional I,White,Black,Blue,Tile,Blue,Latticework
349,Limberg,Mouse,Cranky,,Traditional I,Tan,Brown,Beige,Thatch ,Grey,Latticework
350,Marcel,Dog,Lazy,,Traditional I,White,Beige,Grey,Stone,Brown,Latticework
351,Snake,Rabbit,Jock,,Traditional I,White,Black,Brown,Thatch ,Blue,Latticework
352,Tank,Rhino,Jock,,Traditional I,Grey,White,Grey,Stone,White,Latticework
353,Walt,Kangaroo,Cranky,,Traditional I,Grey,Brown,Black,Stone,Blue,Latticework
354,Wart Jr.,Frog,Cranky,,Traditional I,Sand,Grey,Black,Stone,Brown,Latticework
355,Chester,Cub,Lazy,,Traditional II,White,Brown,Blue,Tile,White,Zen
356,Chow,Bear,Cranky,,Traditional II,White,Brown,Green,Tile,Brown,Imperial
357,Cousteau,Frog,Jock,,Traditional II,White,Brown,Yellow,Tile,Black,Imperial
358,Drago,Crocodile,Lazy,,Traditional II,Yellow,White,Green,Tile,White,Imperial
359,Genji,Rabbit,Jock,,Traditional II,White,Brown,Purple,Tile,White,Zen
360,Margie,Elephant,Normal,,Traditional II,Yellow,White,Orange,Tile,Yellow,Imperial
361,Octavian,Octopus,Cranky,,Traditional II,Red,Red,Brown,Tile,Red,Rustic
362,Pekoe,Cub,Normal,,Traditional II,Red,Red,Blue,Tile,Black,Imperial
363,Pinky,Bear,Peppy,,Traditional II,Pink,White,Yellow,Tile,Yellow,Imperial
364,Rory,Lion,Jock,,Traditional II,White,Brown,Orange,Tile,Brown,Latticework
365,Rowan,Tiger,Jock,,Traditional II,Green,Brown,Brown,Tile,Brown,Latticework
366,Jacques,Bird,Smug,,Urban,Black,Black,Green,Shingles,Blue,Vertical-panes
367,Rooney,Kangaroo,Cranky,,Urban,Grey,Beige,Black,Tin,Blue,Basic
368,Barold,Cub,Lazy,,Urban,Grey,Beige,Grey,Tin,Black,Vertical-panes
369,Agent S,Squirrel,Peppy,,Urban,Blue,Blue,White,Tin,Blue,Iron
370,Anicotti,Mouse,Peppy,,Urban,Green,Green,Pink,Tin,Teal,Rustic
371,Biff,Hippo,Jock,,Urban,Red,Red,Black,Tin,Grey,Iron
372,Big Top,Elephant,Lazy,,Urban,Green,Green,White,Tin,Green,Common
373,Chief,Wolf,Cranky,,Urban,White,White,Orange,Curved shingles,White,Iron
374,Claudia,Tiger,Snooty,,Urban,Pink,Pink,Purple,Tin,Purple,Vertical-panes
375,Ed,Horse,Smug,,Urban,White,White,Blue,Shingles,White,Basic
376,Frank,Eagle,Cranky,,Urban,Yellow,Yellow,Green,Tin,Brown,Latticework
377,Fuchsia,Deer,Uchi,,Urban,Pink,Pink,Orange,Curved shingles,Teal,Basic
378,Groucho,Bear,Cranky,,Urban,Black,Black,Blue,Tin,Grey,Iron
379,Ike,Bear,Cranky,,Urban,Grey,Beige,Grey,Tin,Brown,Latticework
380,Kid Cat,Cat,Jock,,Urban,Red,Red,White,Tin,Red,Iron
381,Kyle,Wolf,Smug,,Urban,Grey,Beige,White,Tin,Grey,Metal-accent
382,Lucha,Bird,Smug,,Urban,White,White,Red,Tin,Yellow,Iron
383,Peewee,Gorilla,Cranky,,Urban,White,White,Grey,Tin,Blue,Common
384,Ribbot,Frog,Jock,,Urban,Grey,Beige,Black,Tin,Grey,Iron
385,Rocco,Hippo,Cranky,,Urban,Black,Black,Green,Tin,Red,Iron
386,Rocket,Gorilla,Uchi,,Urban,Pink,Pink,White,Tin,Pink,Iron
387,Spike,Rhino,Cranky,,Urban,Black,Black,Orange,Tin,Yellow,Iron
388,Sprocket,Ostrich,Jock,,Urban,Green,Green,Grey,Tin,Teal,Iron
389,Static,Squirrel,Cranky,,Urban,Black,Black,Purple,Tin,Yellow,Common
390,Stinky,Cat,Jock,,Urban,Blue,Blue,White,Tin,Red,Iron
391,Vladimir,Cub,Cranky,,Urban,Pink,Pink,Grey,Tin,Yellow,Iron
392,Rilla,Gorilla,Peppy,,Americana,Beige,White,Red,Curved shingles,Blue,Wooden
393,Marty,Cub,Lazy,,Cabin,Yellow,Wood,Purple,Tile,Red,Wooden
394,Étoile,Sheep,Normal,,Terracotta,Pink,N/A,White,Thatch,Blue,Basic
395,Chai,Elephant,Peppy,,Rural,Teal,White,Pink,Tile,White,Common
396,Chelsea,Deer,Normal,,Stucco,White,White,Pink,Shingles,Pink,Iron grill
397,Toby,Rabbit,Smug,,Traditional II,Yellow,White,Green,Tile,Brown,Latticework
